"prov_site","office","custNum","invNum","invoicDate","payDate","balance","totalCharg","tax","po_number","isDeleted","CreatedDate"
"10","Barry Witten LLC","null","10051800","2018-05-04T00:00:00.0000000","null","5.000","5.000","0.000","                    ","False","2018-05-04T00:00:00.0000000"
"100A","PDSBS - Charles L Carter","null","100A051800","2018-06-19T00:00:00.0000000","null","85.180","85.180","0.000","                    ","False","2018-06-19T00:00:00.0000000"
"100B","Gary M Weiner, MD","null","100B051800","2018-06-20T00:00:00.0000000","null","5.000","5.000","0.000","                    ","False","2018-06-20T00:00:00.0000000"
"100F","Katz Medical Billing","null","100F051800","2018-06-21T00:00:00.0000000","null","1542.170","1542.170","0.000","                    ","False","2018-06-21T00:00:00.0000000"
"100H","Island City Eyecare","null","100H051800","2018-06-22T00:00:00.0000000","null","68.000","68.000","0.000","                    ","False","2018-06-22T00:00:00.0000000"
"100P","Sensory Solutions, LLC","null","100P051800","2018-06-23T00:00:00.0000000","null","1873.200","1873.200","0.000","                    ","False","2018-06-23T00:00:00.0000000"
"100U","Star Ambulance","null","100U051800","2018-06-24T00:00:00.0000000","null","304.990","304.990","0.000","                    ","False","2018-06-24T00:00:00.0000000"
"1015","Royal Oaks Hospital","null","1015051800","2018-06-25T00:00:00.0000000","null","802.630","802.630","0.000","                    ","False","2018-06-25T00:00:00.0000000"
"101C","Cradle to College Healthcare P","null","101C051800","2018-06-26T00:00:00.0000000","null","220.540","220.540","0.000","                    ","False","2018-06-26T00:00:00.0000000"
"101E","Middleton Chiropractic","null","101E051800","2018-06-27T00:00:00.0000000","null","214.390","214.390","0.000","                    ","False","2018-06-27T00:00:00.0000000"
"101G","Cortex EDI.Inc","null","101G051800","2018-06-28T00:00:00.0000000","null","0.000","0.000","0.000","                    ","False","2018-06-28T00:00:00.0000000"
"101N","Associates Family Medicine","null","101N051800","2018-06-29T00:00:00.0000000","null","677.000","677.000","0.000","                    ","False","2018-06-29T00:00:00.0000000"
"101O","Ambulatory Anesthesia Provider","null","101O051800","2018-06-30T00:00:00.0000000","null","5.000","5.000","0.000","                    ","False","2018-06-30T00:00:00.0000000"
"101R","Cool Springs Psychiatric Group","null","101R051800","2018-07-01T00:00:00.0000000","null","195.540","195.540","0.000","                    ","False","2018-07-01T00:00:00.0000000"
"101U","Pediatric and Adolescent Psych","null","101U051800","2018-07-02T00:00:00.0000000","null","254.390","254.390","0.000","                    ","False","2018-07-02T00:00:00.0000000"
"102A","Summit Family Medicine","null","102A051800","2018-07-03T00:00:00.0000000","null","461.820","461.820","0.000","                    ","False","2018-07-03T00:00:00.0000000"
"102G","Charles Hardin MD","null","102G051800","2018-07-04T00:00:00.0000000","null","214.390","214.390","0.000","                    ","False","2018-07-04T00:00:00.0000000"
"102I","Koelling and Turnbull Chiro","null","102I051800","2018-07-05T00:00:00.0000000","null","381.080","381.080","0.000","                    ","False","2018-07-05T00:00:00.0000000"
"102K","Henry Medical Billing Service","null","102K051800","2018-07-06T00:00:00.0000000","null","122.370","122.370","0.000","                    ","False","2018-07-06T00:00:00.0000000"
"102W","HV-Association of Specialty","null","102W051800","2018-07-07T00:00:00.0000000","null","1183.500","1183.500","0.000","                    ","False","2018-07-07T00:00:00.0000000"
"103B","Paducah Physiatric Partners, P","null","103B051800","2018-07-08T00:00:00.0000000","null","1036.890","1036.890","0.000","                    ","False","2018-07-08T00:00:00.0000000"
"103O","Northside Medical","null","103O051800","2018-07-09T00:00:00.0000000","null","6.920","6.920","0.000","                    ","False","2018-07-09T00:00:00.0000000"
"103W","Preferred Optical","null","103W051800","2018-07-10T00:00:00.0000000","null","38.000","38.000","0.000","                    ","False","2018-07-10T00:00:00.0000000"
"103Z","PDSBS - James R Dismukes","null","103Z051800","2018-07-11T00:00:00.0000000","null","85.180","85.180","0.000","                    ","False","2018-07-11T00:00:00.0000000"
"104C","Ripley Medical Clinic","null","104C051800","2018-07-12T00:00:00.0000000","null","3270.250","3270.250","0.000","                    ","False","2018-07-12T00:00:00.0000000"
