"id","description","amount","newproduct","per","code"
"241","AutoAppealsAdditionalPages","0.0700","True","30","AAADDLPGS"
"242","Theamountofthisinvoicewillbedeductedautomaticallyonthe20th","0.0000","True","0","ACH"
"243","AllClaimsServiceFeeforcurrentmonth","0.0000","True","3","ACS"
"244","ACSOneCode","0.1100","True","8","ACSONE"
"245","Add-OnFee","50.0000","True","8","ADDON"
"246","AdvancedAlerts","0.0000","True","0","ADVALERTS"
"247","EligibilityPlusAllBundle","29.0000","True","3","ADVELIGALL"
"248","EligibilityPlusBundle","39.0000","True","3","ADVELIGPLU"
"249","AdvancedInstitutionalEditing","0.0000","True","0","ADVINSEDIT"
"250","AdvancedTotalOfficeSolutions","0.0000","True","3","ADVTOTAL"
"251","Alerts","0.0000","True","0","ALERTS"
"252","AnalyticsBundle","0.0000","False","3","ANALYTICS"
"253","AnnualMaintenanceFee","200.0000","True","17","ANNUAL"
"254","AppealLogic","0.0000","True","0","APPEALLOGI"
"255","AppealLetter","0.0000","True","0","APPEALLTR"
"256","AutomatedAppeals","1.0000","True","30","AUTOAPPLS"
"257","AutomatedSecondaries","0.8500","True","6","AUTOSEC"
"258","IntegratedARM","0.0000","True","3","BATCHARM"
"259","IntegratedClaimStatusInquiry","10.0000","True","0","BATCHCSI"
"260","IntegratedEligibility","29.0000","True","3","BATCHELIG"
"261","IntegratedpaperResolve","0.0000","True","0","BATCHPPRSV"
"262","BatchAuthorizationsandReferrals","0.0000","True","3","BHCSM"
"263","BillingServicePackageforML/PT","29.5000","True","25","BILLINGML"
"264","BillingServicePackage","0.0000","False","3","BILLINGSER"
"265","CAQHAccountMaintenance","0.0000","False","0","CAQH"
"266","CASSPostalFilter","0.0500","True","28","CASSFLTR"
"267","CCIEdits","0.0000","True","8","CCI"
"268","CreditCardProcessingbyTransfirst","0.0000","True","8","CCPROCESS"
"269","ClaimCoding","0.0000","True","0","CLAIMCODE"
"270","WebClaimsTransmission","0.0000","True","3","CLAIMS"
"271","ClaimStatusInquiry","0.2500","True","20","CLAIMSTAT"
"272","ClickandPrintforpreviousmonth","0.2500","True","15","CLICKPRNT"
"273","COBPassThroughtoPaper","0.0000","True","16","COBPT"
"274","Statement-FullColor2ndPage","0.0000","True","0","COLORSP"
"275","Statement-FullColor","0.0000","True","0","COLORSTMT"
"276","Statement-FullColorDuplexBacks","0.0000","True","0","COLORSTMTX"
"277","riskAssess","0.0000","True","0","COMPLRISK"
"278","ComplyMDClaimsAnalysis","0.0000","True","3","COMPMD"
"279","ConnectPackage","0.0000","False","0","CONNECT"
"280","ConnectPackageforML/PT","25.6800","True","25","CONNECTML"
"281","ConnectPackage-NoPaper","0.0000","False","0","CONNECTNP"
"282","Consulting","0.0000","True","13","CONSULT"
"283","ContractManager","0.0000","True","0","CONTMGR"
"284","ContractResolveInstitutional","0.0000","True","0","CONTRESLVI"
"285","ContractResolve","20.0000","True","8","CONTRESOLV"
"286","ConvenienceFee","10.0000","True","8","CONVENFEE"
"287","CredentialingServicesBundle","0.0000","True","3","CREDBUNDLE"
"288","Credentialing","150.0000","True","40","CREDENTIAL"
"289","Follow-uponappsnotinitiatedbyTPS","100.0000","True","40","CREDFOLLOW"
"290","AdjustmenttoInvoice","0.0000","False","0","CREDIT"
"291","WebClaimStatusInquiry","0.0000","True","0","CSI"
"292","CustomProgramming","450.0000","False","13","CUSTPROG"
"293","DataTransferService","0.0000","True","8","DATAFEED"
"294","DataRecords","0.0000","True","8","DATAREC"
"295","DeluxeNEHEN","0.0000","True","8","DELUXE"
"296","DemographicChange","50.0000","True","40","DEMOGRAPHC"
"297","DenialsDashboard","0.0000","True","8","DENDASH"
"298","DenialManagementTools","45.0000","False","3","DENIALMGMT"
"299","DenialManagement-AllPayer","35.0000","False","3","DENIALMGRT"
"300","DenialsWorkflow","15.0000","True","3","DENREPORT"
"301","DentalClaims","0.0000","True","8","DENTAL"
"302","eCWAdvancedBundledPackage","0.0000","True","3","ECWENHANCE"
"303","ECWIntegratedElig/RMPackage","0.0000","False","0","ECWIERM"
"304","ECW10iIntegratedPlusPackage","0.0000","False","0","ECWINSPLUS"
"305","ECW10iIntegratedPackage","0.0000","False","0","ECWINSTINT"
"306","ECWIntegratedPackageSpecial","0.0000","False","3","ECWIPS"
"307","eCWPackageML/PT","0.0000","False","0","ECWML"
"308","ECWPackageSpecial","0.0000","False","3","ECWPS"
"309","ECWReimbursementPackage","0.0000","False","3","ECWRM"
"310","eCWUrgentCarePackage","0.0000","True","18","ECWURGENT"
"311","Real-timeEligibility-FixedRate","20.0000","True","3","ELIGALL"
"312","Real-timeEligibility-Medicare","0.2500","True","21","ELIGMCR"
"313","Real-timeEligibility-Nonpar","0.2500","True","20","ELIGNP"
"314","EligiblityOnly","0.0000","True","3","ELIGONLY"
"315","MedicaidEligibilityTransactionFee","0.2000","False","0","ELIGTR"
"316","EnhancedDenialsSolution","0.0000","True","0","ENHANCDEN"
"317","EnhancedReportBundle","15.0000","True","3","ENHANCED"
"318","eobConvert","0.0000","True","0","EOBCONVER"
"319","AdvancedReimbursementManager","45.0000","True","8","EOBRESLV"
"320","eobResolve","0.0000","True","8","EOBRESNHXS"
"321","UniversityofMissouri-ElectronicStatements","0.1500","True","23","EQCSTMT"
"322","EssentialsPackage","0.0000","False","3","ESSENTIALS"
"323","EssentialsPackageforML/PT","34.5000","True","25","ESSENTLSML"
"324","AdditionalService&Support","50.0000","True","0","ETADSER"
"325","ServiceandSupportFee","100.0000","True","0","ETQCTRAN"
"326","ExpressPackageAS","0.0000","False","0","EXPRESSAS"
"327","ExpressPackageCOB","0.0000","False","0","EXPRESSCOB"
"328","ExpressPlus","0.0000","True","0","EXPRSSPLUS"
"329","FastForwardservicefeeforpreviousmonth","0.5000","True","28","FASTFWD"
"330","FeeAnalyzer","0.0000","True","3","FEEANZR"
"331","Follow-UpLetters","0.6500","True","7","FULETTERS"
"332","GuaranteeAgreement","0.0000","True","8","GUARANTEE"
"333","HIPAATraining","100.0000","False","0","HIPAA"
"334","HIPAASaysAnnualMaintenanceContract","500.0000","False","0","HIPAACON"
"335","HIPAAPoliciesandProcedurescompletedbyGatewayEDI","2995.0000","False","0","HIPAAGEDI"
"336","HIPAASays-UserLicense(s)","1499.0000","False","0","HIPAALIC"
"337","HIPAASayswith1yearofGatewayEDISupport","2495.0000","False","0","HIPAASUPP"
"338","StatementHoldandRelease","0.0000","True","8","HOLDRELEAS"
"339","HospitalClaims","0.0000","True","0","HOSPITALCL"
"340","HospitalPaper","0.0000","True","0","HOSPITALPA"
"341","HospitalPrivileges","150.0000","True","40","HOSPPRIV"
"342","HTMLEligibility","0.0000","True","0","HTMLELIG"
"343","DONOTUSE-CSIIntegrated","0.2500","True","20","ICLAIMSTAT"
"344","OnlineImageArchive","0.0100","True","24","IMG01"
